HJD,HJD_Error,Note,BJD,Cycle_obs,Cycle_cal,O-C,OC_Error
2458766.406417 ,0.000171 ,TESS,2458766.407226 ,44586.003415 ,44586.000000 ,0.000477 ,0.000171 
2458766.545847 ,0.000171 ,TESS,2458766.546656 ,44587.001930 ,44587.000000 ,0.000270 ,0.000171 
2458766.685419 ,0.000124 ,TESS,2458766.686228 ,44588.001463 ,44588.000000 ,0.000204 ,0.000124 
2458766.825635 ,0.000124 ,TESS,2458766.826444 ,44589.005607 ,44589.000000 ,0.000783 ,0.000124 
2458766.964782 ,0.000189 ,TESS,2458766.965591 ,44590.002095 ,44590.000000 ,0.000293 ,0.000189 
2458767.104847 ,0.000194 ,TESS,2458767.105656 ,44591.005158 ,44591.000000 ,0.000720 ,0.000194 
2458767.243826 ,0.000157 ,TESS,2458767.244635 ,44592.000443 ,44592.000000 ,0.000062 ,0.000157 
2458767.383484 ,0.000315 ,TESS,2458767.384293 ,44593.000591 ,44593.000000 ,0.000083 ,0.000315 
2458767.523153 ,0.000119 ,TESS,2458767.523962 ,44594.000818 ,44594.000000 ,0.000114 ,0.000119 
2458767.662380 ,0.000165 ,TESS,2458767.663189 ,44594.997879 ,44595.000000 ,-0.000296 ,0.000165 
2458767.802053 ,0.000204 ,TESS,2458767.802862 ,44595.998135 ,44596.000000 ,-0.000260 ,0.000204 
2458767.942476 ,0.000139 ,TESS,2458767.943285 ,44597.003761 ,44597.000000 ,0.000525 ,0.000139 
2458768.081161 ,0.000134 ,TESS,2458768.081970 ,44597.996941 ,44598.000000 ,-0.000427 ,0.000134 
2458768.221595 ,0.000170 ,TESS,2458768.222404 ,44599.002646 ,44599.000000 ,0.000370 ,0.000170 
2458768.361239 ,0.000234 ,TESS,2458768.362048 ,44600.002694 ,44600.000000 ,0.000376 ,0.000234 
2458768.500495 ,0.000169 ,TESS,2458768.501304 ,44600.999963 ,44601.000000 ,-0.000005 ,0.000169 
2458768.640931 ,0.000168 ,TESS,2458768.641740 ,44602.005683 ,44602.000000 ,0.000794 ,0.000168 
